,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_dropout_rate,param_epochs,param_neurons,param_optimizer,param_weight_constraint,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
36,44.5938968658,41.4836320877,0.933264800719,0.934827294936,10,0.7,1,45,Nadam,2,"{'dropout_rate': 0.7, 'optimizer': 'Nadam', 'weight_constraint': 2, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",22,0.933264800719,0.934827294936,0.0,0.0,0.0,0.0
37,44.7652640343,41.1522290707,0.933727347329,0.936163644368,10,0.7,1,45,Nadam,3,"{'dropout_rate': 0.7, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",17,0.933727347329,0.936163644368,0.0,0.0,0.0,0.0
38,42.8519530296,40.9877409935,0.934266985083,0.937705584606,10,0.7,1,45,Nadam,4,"{'dropout_rate': 0.7, 'optimizer': 'Nadam', 'weight_constraint': 4, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",14,0.934266985083,0.937705584606,0.0,0.0,0.0,0.0
39,44.8564748764,39.3561940193,0.933084921575,0.934004927299,10,0.7,1,45,Nadam,5,"{'dropout_rate': 0.7, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",24,0.933084921575,0.934004927299,0.0,0.0,0.0,0.0
40,42.6401209831,37.7289068699,0.931080552969,0.933388150309,10,0.8,1,45,Nadam,1,"{'dropout_rate': 0.8, 'optimizer': 'Nadam', 'weight_constraint': 1, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",35,0.931080552969,0.933388150309,0.0,0.0,0.0,0.0
41,41.6316571236,41.2675449848,0.932956436231,0.934004927054,10,0.8,1,45,Nadam,2,"{'dropout_rate': 0.8, 'optimizer': 'Nadam', 'weight_constraint': 2, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",25,0.932956436231,0.934004927054,0.0,0.0,0.0,0.0
42,42.7964429855,41.7978038788,0.933290497726,0.935341275567,10,0.8,1,45,Nadam,3,"{'dropout_rate': 0.8, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",21,0.933290497726,0.935341275567,0.0,0.0,0.0,0.0
43,40.9422159195,43.8499519825,0.93329049788,0.933696538884,10,0.8,1,45,Nadam,4,"{'dropout_rate': 0.8, 'optimizer': 'Nadam', 'weight_constraint': 4, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",20,0.93329049788,0.933696538884,0.0,0.0,0.0,0.0
44,41.7522671223,42.7093129158,0.932648071789,0.933079762666,10,0.8,1,45,Nadam,5,"{'dropout_rate': 0.8, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",26,0.932648071789,0.933079762666,0.0,0.0,0.0,0.0
45,41.0198500156,42.9332070351,0.921572650871,0.918688314893,10,0.9,1,45,Nadam,1,"{'dropout_rate': 0.9, 'optimizer': 'Nadam', 'weight_constraint': 1, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",48,0.921572650871,0.918688314893,0.0,0.0,0.0,0.0
46,41.4688520432,41.9020469189,0.926814845407,0.92475328179,10,0.9,1,45,Nadam,2,"{'dropout_rate': 0.9, 'optimizer': 'Nadam', 'weight_constraint': 2, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",44,0.926814845407,0.92475328179,0.0,0.0,0.0,0.0
47,41.1859118938,40.3467350006,0.926043934478,0.924547689697,10,0.9,1,45,Nadam,3,"{'dropout_rate': 0.9, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",45,0.926043934478,0.924547689697,0.0,0.0,0.0,0.0
48,39.5035338402,40.6379580498,0.931568796402,0.931846209679,10,0.9,1,45,Nadam,4,"{'dropout_rate': 0.9, 'optimizer': 'Nadam', 'weight_constraint': 4, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",32,0.931568796402,0.931846209679,0.0,0.0,0.0,0.0
49,40.8756988049,42.5208981037,0.930052671735,0.927939959385,10,0.9,1,45,Nadam,5,"{'dropout_rate': 0.9, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",37,0.930052671735,0.927939959385,0.0,0.0,0.0,0.0
