,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_dropout_rate,param_epochs,param_neurons,param_optimizer,param_weight_constraint,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
10,45.5038859844,45.653553009,0.926352298797,0.931126637531,10,0.2,1,45,Nadam,1,"{'dropout_rate': 0.2, 'optimizer': 'Nadam', 'weight_constraint': 1, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",35,0.926352298797,0.931126637531,0.0,0.0,0.0,0.0
11,43.0507071018,47.3876349926,0.934498258242,0.941817426895,10,0.2,1,45,Nadam,2,"{'dropout_rate': 0.2, 'optimizer': 'Nadam', 'weight_constraint': 2, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",13,0.934498258242,0.941817426895,0.0,0.0,0.0,0.0
12,48.1471979618,46.7718811035,0.927380180123,0.931743413173,10,0.2,1,45,Nadam,3,"{'dropout_rate': 0.2, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",34,0.927380180123,0.931743413173,0.0,0.0,0.0,0.0
13,43.6861789227,47.6667749882,0.938661177667,0.944078940285,10,0.2,1,45,Nadam,4,"{'dropout_rate': 0.2, 'optimizer': 'Nadam', 'weight_constraint': 4, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",1,0.938661177667,0.944078940285,0.0,0.0,0.0,0.0
14,43.7044508457,45.2794961929,0.938481298339,0.942948183988,10,0.2,1,45,Nadam,5,"{'dropout_rate': 0.2, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",2,0.938481298339,0.942948183988,0.0,0.0,0.0,0.0
15,42.9173870087,45.3996760845,0.929410245644,0.933388150738,10,0.3,1,45,Nadam,1,"{'dropout_rate': 0.3, 'optimizer': 'Nadam', 'weight_constraint': 1, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",29,0.929410245644,0.933388150738,0.0,0.0,0.0,0.0
16,44.5475299358,42.9639370441,0.931337523465,0.936574828983,10,0.3,1,45,Nadam,2,"{'dropout_rate': 0.3, 'optimizer': 'Nadam', 'weight_constraint': 2, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",23,0.931337523465,0.936574828983,0.0,0.0,0.0,0.0
17,45.912457943,44.7168869972,0.931568796754,0.939350321656,10,0.3,1,45,Nadam,3,"{'dropout_rate': 0.3, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",22,0.931568796754,0.939350321656,0.0,0.0,0.0,0.0
18,45.1671700478,46.3626189232,0.93102915874,0.938836341638,10,0.3,1,45,Nadam,4,"{'dropout_rate': 0.3, 'optimizer': 'Nadam', 'weight_constraint': 4, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",26,0.93102915874,0.938836341638,0.0,0.0,0.0,0.0
19,46.1818459034,47.772233963,0.933444680246,0.939555913504,10,0.3,1,45,Nadam,5,"{'dropout_rate': 0.3, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",18,0.933444680246,0.939555913504,0.0,0.0,0.0,0.0
20,47.8418369293,50.3643639088,0.911627899738,0.91817433577,10,0.4,1,45,Nadam,1,"{'dropout_rate': 0.4, 'optimizer': 'Nadam', 'weight_constraint': 1, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",41,0.911627899738,0.91817433577,0.0,0.0,0.0,0.0
21,45.8768289089,46.3743200302,0.936451232986,0.943462163455,10,0.4,1,45,Nadam,2,"{'dropout_rate': 0.4, 'optimizer': 'Nadam', 'weight_constraint': 2, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",9,0.936451232986,0.943462163455,0.0,0.0,0.0,0.0
22,47.2706170082,51.2656149864,0.934035711939,0.936986012433,10,0.4,1,45,Nadam,3,"{'dropout_rate': 0.4, 'optimizer': 'Nadam', 'weight_constraint': 3, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",16,0.934035711939,0.936986012433,0.0,0.0,0.0,0.0
23,47.8061821461,48.9680399895,0.927868424161,0.934724498981,10,0.4,1,45,Nadam,4,"{'dropout_rate': 0.4, 'optimizer': 'Nadam', 'weight_constraint': 4, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",31,0.927868424161,0.934724498981,0.0,0.0,0.0,0.0
24,44.7116038799,48.8979849815,0.927431574513,0.934518907685,10,0.4,1,45,Nadam,5,"{'dropout_rate': 0.4, 'optimizer': 'Nadam', 'weight_constraint': 5, 'batch_size': 10, 'epochs': 1, 'neurons': 45}",33,0.927431574513,0.934518907685,0.0,0.0,0.0,0.0
